CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
Null,Myrtus communis,Myrtaceae,Evergreen shrub/tree,"3 to 15 ft. tall, 10 ft. wide",Full,Well-draining,Neutral to acidic,Summer,White,8-11 (USDA),Mediterranean,Toxic to pets,Null,"Common Myrtle, Myrtle, True Myrtle, True Roman Myrtle, Sweet Myrtle, Myrtle Bonsai Tree",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-myrtus-communis-5089132,"Water the root ball regularly (once a week or more) when the plant is young, but do not soak as this could also contribute to possible iron chlorosis. An older plant prefers a deeper watering every two to four weeks but can do well without water for shorter periods, as well."
"Crossandra, firecracker flower",Crossandra infundibuliformis,Acanthaceae,"Annual, perennial","1-3 ft tall, 1-2 ft wide",Partial,"Loamy, well-draining",Acidic,"Spring, summer, fall","Orange, pink, red",10-11 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-crossandra-inside-1902641,"Crossandra is very susceptible to drought and likes slightly moist soil—but not soggy—at all times. Outdoors, water this plant moderately on alternating days during the growing season. Never allow the soil to completely dry out. Reduce the amount of water in the winter to once a week, if you're growing it as a perennial."
Amazonian elephant's ear,Alocasia x amazonica,Null,Tropical,"1–2 ft. tall, 1–2 ft. wide",Partial,"Moist, well-drained",Neutral to acidic,"Spring, summer (rarely blooms)",Green,9–11 (USDA),Asia,"Toxic to humans, dogs, and cats",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/amazon-elephants-ear-alocasia-amazonica-overview-1902737,"Keep the soil moist but remember that Amazonian elephant's ear plants do not like wet feet. If possible, water your plant in the morning from below (at the root zone) to keep the leaves from getting too wet. The plant needs a rest period in winter, so allow the soil to become almost dry between waterings during these months. However, if it dries completely, the plant may go dormant. "
"Alocasia grey dragon, African mask maharani ",Alocasia maharani ,Araceae ,"Perennial, corm ",14 in. tall (indoors) ,Partial ,Moist but well-draining ,Acidic ,"Spring, summer ","Green, white ","10, USDA ",Asia ,Toxic to pets1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/alocasia-maharani-care-guide-5443058,"The soil should stay consistently moist, but not wet between waterings. This means that during the spring and summer when the plant is actively growing and temperatures are warmer you will likely need to water it once or twice a week. In the fall and winter, you can cut back on watering as the plant requires less moisture. "
"Himalayan birch, Indian paper birch, white-barked Himalayan birch",Betula jacquemontii,Betulaceae,Tree,"40-50 ft. tall, 20-35 ft. wide","Full, partial","Loamy, sandy, clay, moist but well-drained","Acid, alkaline, neutral",Spring,"Yellow, brown, green",4-7 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/himalayan-birch-plant-profile-4845264,"Himalayan birch can tolerate very wet soil. It is often used in wetland restoration. In well-draining soils, it can grow up to 18 inches per year. Use a soaker hose to establish strong roots during its first year."
"Blue star juniper, flaky juniper, Himalayan juniper, singleseed juniper",Juniperus squamata 'Blue Star',Cupressaceae,Shrub,"1 to 3 ft. tall, 1.5 to 3 ft. wide",Full,Sandy,"Acidic, alkaline",Null,Null,4-8 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/blue-star-juniper-2132071,"Make sure to water these dwarf evergreen shrubs properly their first year in the yard so that they can become established, then let them go. Water established plants occasionally when they look dry, or more often in extreme heat, keeping in mind this plant doesn't like overly wet conditions. They are relatively drought-tolerant shrubs once mature."
" Roma tomato, paste tomato", Solanum lycopersicum, Solanaceae," Annual, vegetable ",Null, Full," Loamy, well-drained", Acidic, Summer,Null,3-11 (USDA),South America,"Toxic to humans1, toxic to pets2 (non-fruit parts)",Null,Null,Null," 3-5 ft. tall, 2-4 ft. spread",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/roma-tomato-growing-guide-5324327,"Tomatoes needs to be well-watered at all times so you need to keep an eye on the soil moisture level all season long. In the absence of rain, give them at least 1 to 1.5 inches of water per week. The soil should never dry out, which can lead to fast wilting. Water slowly and deeply and try not to get the foliage wet, which increases the risk of spreading fungal diseases such as blight."
"Coneflower, echinacea",Echinacea 'Firebird',Null,"Herbaceous, perennial",36 inches in height with a 36-inch spread,"Full, partial","Well-drained, sandy, clay, loamy",6.5 to 7.0,June through October,Reddish-orange,4 to 8 (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/echinacea-firebird-an-orange-coneflower-2131855,This plant is drought tolerant. It only needs about an inch of water every week.
"Liriope, lilygrass, big blue turflily (L. Muscari); creeping liriope, monkey grass (L. Spicata)",Liriope Spicata or L. Muscari,Asparagaceae,Herbaceous perennial,"9–18 in. tall, 12-24 in. spread","Full, partial","Well-draining, sandy",Acidic (6.0 to 7.0),August to September,"Lavender, white",4–10 (USDA),East and Southeast Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/liriope-plants-popular-varieties-of-border-grass-2132483,"During the first growing season, water the plants regularly—but not every day, as that can cause soggy soil conditions. On average, liriope needs about 1 inch of water per week. Once established, liriope plants are relatively drought-tolerant and can go a little longer between watering days.1"
"Lifesaver plant, lifebuoy huernia, little owl eyes, owl eyes, zebra-striped huernia, carrion flower",Huernia zebrina,Apocynaceae,Perennial,"6 in wide, 6-8 in tall",Full sun to part shade,Cactus potting mix,Acidic,Spring and summer,Cream-colored and red,9b-11 (USDA),Southern Africa,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/lifesaver-plant-profile-5072331,"Like all succulents, Huernia zebrina does not like much moisture so watering the right amount at the right time is crucial."
Boston ivy,Parthenocissus tricuspidata,Vitaceae,"Vine, perennial",30–50 ft. long,"Full, partial","Loamy, moist","Acidic, alkaline",Null,Null,4–8 (USDA),Asia,"Toxic to people1, toxic to pets3",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-and-planting-boston-ivy-2132892,"Boston ivy has average water needs. During the first growing season, ensure it is deeply watered so the roots develop well. After that, water the ivy weekly, and more often when it is hot. The plant is fairly drought tolerant once it is well established."
"English Holly, common holly, European holly",Ilex aquifolium,Aquifoliaceae,Evergreen Tree or shrub,30-50 ft. tall,Full sun to partial shade,Well-drained,Acidic to neutral,Summer,Blue/lilac shades,5-8 (USDA),"Western and southern Europe, northwest Africa, and southwest Asia",Toxic to humans and pets1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/english-holly-plant-profile-5070521,"English holly is a fairly drought-tolerant shrub, but it prefers moist (not waterlogged) conditions in the warmer months. It should be kept drier during the winter."
Beaked hazelnut,Corylus cornuta,Null,Deciduous shrub,12' tall,Full sun,Well-drained,6.8-7.2,Spring,"Yellow catkins (male), red flowers (female)",3-8,North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-beaked-hazelnut-5076082,"The beaked hazelnut shrub can adapt to wet and dry growing locations and is considered to be drought-tolerant. For this reason, beaked hazelnut makes an ideal choice for xeriscaping or moisture-conserving landscape design. "
Silver linden,Tilia tomentosa,Null,Tree,50 to 70 feet tall; 25 to 30 foot wide,Partial to full sun,Moist and well-draining,Alkaline,Summer,Pale yellow,4 to 7,"Europe, Asia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/silver-linden-tree-profile-5072045,"You’ll find that silver linden trees are among the most drought-resistant types of linden trees. They generally require no additional watering once the tree has been established. However, if a period of drought extends for a month or more, give the silver linden a helping hand by watering it thoroughly every few weeks. "
"Pink quill, fan flower, blue flowered torch",Tillandsia cyanea,Null,"Perennial, succulent",Up to 10 in. tall,Partial shade,N/A,N/A,Null,"Blue, purple","11 and above, USA",South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/tillandsia-cyanea-growing-guide-5082021,"Although pink quills don't need as much water as the average houseplant, they do tend to need more than most Tillandsia species."
"Peacock Plant, Cathedral Windows",Calathea Makoyana,Null,"Evergreen, Herbaceous, Perennial",Up to 4 ft. tall,"Partial Sun, Full Shade",Moist but well-drained,"Acid, Neutral, Slightly Alkaline","Anytime, but flowers are small",White,"10 - 11, USA",Brazil,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-peacock-plants-5089220,Getting the balance right when it comes to irrigation is key for peacock plants. If the leaves are starting to curl up this can be a sign of underwatering. Too much water can cause root rot. These plants like consistent and even levels of moisture and many enthusiasts use a moisture meter to help them gauge when the plant needs watering.
Null," Prunus pendula 'Pendula Rosea' (formerly, Prunus subhirtella 'Pendula')", Rosaceae,"Broadleaf, deciduous tree",15 to 25 ft. tall and wide, Full sun," Well-drained, fertile", 6.0 to 7.0,Null,Null," 5 to 8, USDA", Species native to Japan,Null,Null," Weeping cherry tree, weeping Higan cherry tree",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/weeping-cherry-trees-the-best-cascading-faves-4767407,"The water needs of this plant are average. But for optimal results, keep its soil evenly moist during the growing season. Do not allow the roots to sit in soggy soil."
"Dog Tail Cactus, Pitaya De Tortuga","Strophocactus testudo, Selenicereus testudo",Cactaceae,Perennial succulent,10 ft.,"Full sun, partial sun","Sandy, rocky, well-drained","Neutral, acidic, alkaline",Summer,White,7-11 (USDA),South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/dog-tail-cactus-plant-profile-5073217,"Epiphytic cacti require more water than other cactus species and will need more regular moisture during summer. However, ensuring the soil or cactus mix dries out completely in between watering is crucial. You must provide your dog tail cactus with the correct water balance and dryness. If your cactus doesn't receive enough water, it can start to produce a disproportionate amount of unhealthy aerial roots."
Null,Symphyotrichum spp.,Asteraceae,Null,"1–6 ft. tall, 1–4 ft. wide",Full,"Loamy, well-drained","Neutral, acidic",Null,"Purple, pink, blue, white",3-8 (USDA),North America,Null,Null,"Asters, New England asters, frost flowers",Null,Null,Null,Null,Null,Null,Null,Null,Null,"Herbaceous, perennial",Null,Null,Null,"Summer, fall",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/perennial-aster-flower-plants-1316032,"Keep new plantings moist and continue watering regularly until the flowers are finished blooming. As a rule of thumb, the soil your asters reside in should stay consistently moist but never saturated. One thing to note: Try to water the base of your asters without splashing water on the leaves—doing so can cause mildew or fungal growth. One inch of rain or watering once a week is usually recommended for most perennial plants."
Crocodile fern,Odontonema strictum,Null,Houseplant or perennial,2 to 5 feet tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,Late summer to early fall,Red,10 to 11,Southeast Asia and Australia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-firespike-plants-5076290,Null
Arabian jasmine,Jasminum sambac,Null,Evergreen,"6-10 ft. tall, 6-10 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Summer,"Pink, white","9-11, USA",Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/arabian-jasmine-guide-5190635,"Arabian jasmine requires plenty of water, especially during the summer season. Water this plant regularly to keep the soil moist, though not wet. Avoid soggy soil as this will lead to rot.1 When the first few inches of soil feels dry to the touch, water thoroughly. This may be once a week or more, depending on your location. It is best to reduce this plant’s water during the winter. "
"Pothos, Golden Pothos, Devil's Vine, Devil's Ivy",Epipremnum aureum,Araceae,Vine,"20–40 ft. long, 3–6 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to slightly acidic,Rarely flowers,"Gold/Yellow, Purple/Lavender",10–12 (USDA),Null,All parts of this plant are toxic to dogs and cats1,South Pacific,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pothos-an-easy-to-grow-houseplant-1403154,"A pothos plant likes to have its soil dry out completely between waterings. If left in continually damp soil, the plant's roots will rot. Black spots on the leaves (or the sudden collapse of the plant) indicate that the soil has been kept too wet.2 The plant will indicate when it needs water. When it starts to droop, it needs water. However, don’t wait until the leaves start to shrivel or the plant will lose some leaves. Dry, brown edges mean the plant was kept dry for too long."
Iris,Iris,Null,Perennial,6 in. to 4 ft. tall,Full sun,"Rich, moist, well-draining",Neutral to slightly acidic,"Late spring, early summer, and late summer","Varying shades of purple, blue, white, yellow","3 to 9, USA (depending on variety)","Europe, Asia, North America","Toxic to humans, toxic to pets",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/iris-flowers-growing-guide-5120188,"Because the iris likes both moisture and well-draining soil, watering consistently and deeply is very important. Just be sure not to overwater, as too much water in the soil can cause problems such as root rot. Though they appreciate consistent water, most iris varieties are drought-resistant and won’t die quickly if they are deprived of water for a short time. "
"Little Bluestem, Beard grass",Schizachyrium scoparium,Poaceae,Ornamental perennial grass,2 - 5 ft. tall,Full sun,Various,"Acid, Neutral, Alkaline","Summer, Fall",Purple,"3 - 9, USDA",North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/little-bluestem-growing-guide-5214474,"Once little bluestem is established, it has good drought tolerance. Additional watering can result in the plant stems drooping unattractively. Overwatering can even kill the plants."
Prickly pear,Opuntia spp.,Cactaceae,"Herbaceous, perennial, cactus","6 in.—8-ft. tall and wide, depending on species",Full,"Dry, sandy or gravelly, well-draining",Slightly acidic to neutral (6 to 7.5),June to July,"Pink, yellow",4—11 (USDA),North and South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-prickly-pear-cactus-inside-1902533,"Prickly pear likes dry conditions, and very little watering is required to maintain the plant. This is why the cactus is often used in low-water gardens. Limit your watering to every two to three weeks or whenever the soil is completely dry. When watering, simply moisten the soil without soaking it. If you get minimal rainfall, that's often all the plant needs."
